RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7191-IE-4,RIO ITAPECURU,9.0,PH,2,7.75,7.75,0.5091168824543137,7.39,8.11
MA-7191-IE-4,RIO ITAPECURU,10.0,PH,2,6.195,6.195,2.8496403281817875,4.18,8.21
MA-7191-IE-4,RIO ITAPECURU,,PH,2,6.75,6.75,0.5656854249492386,6.35,7.15
MA-7199-I-1,RIO ITAPECURU,10.0,PH,1,5.72,5.72,,5.72,5.72
MA-7164-I-19,RIO ITAPECURU,1.0,OXIGENIO_DISSOLVIDO,1,7.6,7.6,,7.6,7.6
MA-7164-I-19,RIO ITAPECURU,2.0,OXIGENIO_DISSOLVIDO,2,6.879999999999999,6.879999999999999,1.7536248173426379,5.64,8.12
MA-7164-I-19,RIO ITAPECURU,3.0,OXIGENIO_DISSOLVIDO,2,7.130000000000001,7.130000000000001,1.5414927829866742,6.04,8.22
MA-7164-I-19,RIO ITAPECURU,4.0,OXIGENIO_DISSOLVIDO,2,7.15,7.15,0.49497474683058307,6.8,7.5
MA-7164-I-19,RIO ITAPECURU,6.0,OXIGENIO_DISSOLVIDO,1,5.48,5.48,,5.48,5.48
MA-7164-I-19,RIO ITAPECURU,7.0,OXIGENIO_DISSOLVIDO,2,6.275,6.275,0.6010407640085661,5.85,6.7
MA-7164-I-19,RIO ITAPECURU,8.0,OXIGENIO_DISSOLVIDO,2,8.265,8.265,0.572756492761103,7.86,8.67
MA-7164-I-19,RIO ITAPECURU,9.0,OXIGENIO_DISSOLVIDO,2,7.18,7.18,0.3535533905932738,6.93,7.43
MA-7164-I-19,RIO ITAPECURU,10.0,OXIGENIO_DISSOLVIDO,2,6.38,6.38,1.315218613006978,5.45,7.31
MA-7164-I-19,RIO ITAPECURU,,OXIGENIO_DISSOLVIDO,2,6.699999999999999,6.699999999999999,0.49497474683058373,6.35,7.05
MA-7181-I-1,RIO ITAPECURU,1.0,OXIGENIO_DISSOLVIDO,1,7.45,7.45,,7.45,7.45
MA-7181-I-1,RIO ITAPECURU,2.0,OXIGENIO_DISSOLVIDO,2,7.6450000000000005,7.6450000000000005,2.9344931419241727,5.57,9.72
MA-7181-I-1,RIO ITAPECURU,3.0,OXIGENIO_DISSOLVIDO,2,6.765000000000001,6.765000000000001,1.5768481220460009,5.65,7.88
MA-7181-I-1,RIO ITAPECURU,4.0,OXIGENIO_DISSOLVIDO,2,7.085,7.085,0.45961940777125615,6.76,7.41
MA-7181-I-1,RIO ITAPECURU,5.0,OXIGENIO_DISSOLVIDO,2,7.35,7.35,0.4242640687119292,7.05,7.65
MA-7181-I-1,RIO ITAPECURU,6.0,OXIGENIO_DISSOLVIDO,1,5.26,5.26,,5.26,5.26
